Solar Name,Date,Year,Status,NDVI_mean,NDVI_stdev,NDVI_variance,NDVI_mean_control,NDVI_stdev_control,NDVI_variance_control
ELP Stillwater,Jan-Apr,2023,Post-Construction,0.224302323,0.103952413,0.010806104,0.278097011,0.100688626,0.010138199
ELP Stillwater,Jan-Apr,2023,Post-Construction,0.196358218,0.055960881,0.00313162,0.218153533,0.031150713,0.000970367
ELP Stillwater,Jan-Apr,2023,Post-Construction,0.194804254,0.113732133,0.012934998,0.29441288,0.033783678,0.001141337
ELP Stillwater,Jan-Apr,2023,Post-Construction,0.20389235,0.122222748,0.0149384,0.342761746,0.07729958,0.005975225
ELP Stillwater,Jan-Apr,2023,Post-Construction,0.175662533,0.061089292,0.003731902,0.128145889,0.0323299,0.001045222
ELP Stillwater,Jan-Apr,2023,Post-Construction,0.173028867,0.059979118,0.003597495,0.387649388,0.116740527,0.013628351
ELP Stillwater,Jan-Apr,2023,Post-Construction,0.208253531,0.061523098,0.003785092,0.407444189,0.190468808,0.036278367
Grissom,Jan-Apr,2023,Post-Construction,0.183855188,0.060592289,0.003671426,0.18203479,0.08412784,0.007077493
Grissom,Jan-Apr,2023,Post-Construction,0.184950099,0.055768629,0.00311014,0.13979368,0.053729736,0.002886885
Pattersonville,Jan-Apr,2021,Post-Construction,0.070345124,0.021815566,0.000475919,0.088199149,0.031354275,0.000983091
Puckett,Jan-Apr,2022,Post-Construction,0.113548827,0.082648263,0.006830735,0.244600277,0.084370236,0.007118337
Puckett,Jan-Apr,2022,Post-Construction,0.075255393,0.013022096,0.000169575,0.599752929,0.181179809,0.032826123
Puckett,Jan-Apr,2022,Post-Construction,0.082397922,0.033455566,0.001119275,0.142851705,0.024792136,0.00061465
Puckett,Jan-Apr,2022,Post-Construction,0.094319271,0.039356632,0.001548944,0.115921013,0.025005941,0.000625297
Puckett,Jan-Apr,2022,Post-Construction,0.11404311,0.053495093,0.002861725,0.128070897,0.026330784,0.00069331
Regan,Jan-Apr,2023,Post-Construction,0.19626605,0.091621109,0.008394428,0.087136984,0.064005011,0.004096641
Regan,Jan-Apr,2023,Post-Construction,0.230896818,0.075770373,0.005741149,0.217386955,0.10383573,0.010781859
